"","institution","species","Lat","Lon","date"
"5124","Norsk zoologisk forening","Carassius_carassius",59.77805,10.702474,"07.05.2019 00:00:00"
"5125","Norsk zoologisk forening","Anguilla_anguilla",59.777421,10.710227,"07.05.2019 00:00:00"
"5126","Norsk zoologisk forening","Ctenolabrus_rupestris",59.777421,10.710227,"07.05.2019 00:00:00"
"5127","Norsk zoologisk forening","Gobius_niger",59.777421,10.710227,"07.05.2019 00:00:00"
"5128","Norsk zoologisk forening","Myoxocephalus_scorpius",59.777421,10.710227,"07.05.2019 00:00:00"
"5129","Norsk zoologisk forening","Callionymus_lyra",59.445824,10.456345,"07.05.2019 00:00:00"
"5130","Norsk zoologisk forening","Callionymus_lyra",59.445824,10.456345,"07.05.2019 00:00:00"
"5131","Norsk zoologisk forening","Myoxocephalus_scorpius",59.445678,10.455608,"07.05.2019 00:00:00"
"5132","Norsk zoologisk forening","Pomatoschistus_minutus",59.445678,10.455608,"07.05.2019 00:00:00"
"5133","Norsk zoologisk forening","Pomatoschistus_pictus",59.445395,10.45657,"07.05.2019 00:00:00"
"5134","Norsk zoologisk forening","Callionymus_lyra",59.445824,10.456345,"09.05.2019 00:00:00"
"5135","Norsk zoologisk forening","Acantholabrus_palloni",59.445824,10.456345,"09.05.2019 00:00:00"
"5136","Norsk zoologisk forening","Agonus_cataphractus",59.445824,10.456345,"09.05.2019 00:00:00"
"5137","Norsk zoologisk forening","Limanda_limanda",59.445678,10.455608,"09.05.2019 00:00:00"
"5138","Norsk zoologisk forening","Zeugopterus_punctatus",59.445678,10.455608,"09.05.2019 00:00:00"
"5139","Norsk zoologisk forening","Gobius_niger",59.445381,10.455896,"09.05.2019 00:00:00"
"5140","Norsk zoologisk forening","Gadus_morhua",59.880629,10.611062,"11.05.2019 00:00:00"
"5141","Norsk zoologisk forening","Pollachius_virens",59.875223,10.598881,"11.05.2019 00:00:00"
"5142","Norsk zoologisk forening","Pomatoschistus_minutus",59.892897,10.595853,"08.05.2019 00:00:00"
"5143","Norsk zoologisk forening","Gasterosteus_aculeatus",59.892757,10.596051,"08.05.2019 00:00:00"
"5144","Norsk zoologisk forening","Myoxocephalus_scorpius",59.041897,10.230329,"17.04.2019 00:00:00"
"5145","Norsk zoologisk forening","Gobiusculus_flavescens",59.033112,10.207197,"18.04.2019 00:00:00"
"5146","Norsk zoologisk forening","Scomber_scombrus",59.518811,10.467664,"15.05.2019 00:00:00"
"5147","Norsk zoologisk forening","Belone_belone",59.518811,10.467664,"15.05.2019 00:00:00"
"5148","Norsk zoologisk forening","Scophthalmus_maximus",59.445395,10.45657,"15.05.2019 00:00:00"
"5149","Norsk zoologisk forening","Aphia_minuta",59.445395,10.45657,"13.10.2018 00:00:00"
"5151","Norsk zoologisk forening","Trisopterus_minutus",59.445381,10.455896,"18.05.2019 00:00:00"
"5152","Norsk zoologisk forening","Labrus_bergylta",59.445724,10.457387,"21.05.2019 00:00:00"
"5153","Norsk zoologisk forening","Trisopterus_esmarkii",59.038306,10.820648,"22.05.2019 00:00:00"
"5154","Norsk zoologisk forening","Gadus_morhua",59.038306,10.820648,"22.05.2019 00:00:00"
"5155","Norsk zoologisk forening","Pleuronectes_platessa",59.038306,10.820648,"22.05.2019 00:00:00"
"5156","Norsk zoologisk forening","Anarhichas_lupus",59.038306,10.820648,"22.05.2019 00:00:00"
"5157","Norsk zoologisk forening","Lophius_piscatorius",59.038306,10.820648,"22.05.2019 00:00:00"
"5158","Norsk zoologisk forening","Solea_solea",59.038306,10.820648,"22.05.2019 00:00:00"
"5159","Norsk zoologisk forening","Glyptocephalus_cynoglossus",59.038306,10.820648,"22.05.2019 00:00:00"
"5160","Norsk zoologisk forening","Scophthalmus_maximus",59.038306,10.820648,"22.05.2019 00:00:00"
"5161","Norsk zoologisk forening","Etmopterus_spinax",59.038306,10.820648,"22.05.2019 00:00:00"
"5162","Norsk zoologisk forening","Anguilla_anguilla",59.114131,10.385028,"10.05.2019 00:00:00"
"5163","Norsk zoologisk forening","Salmo_trutta",59.114131,10.385028,"10.05.2019 00:00:00"
"5164","Norsk zoologisk forening","Solea_solea",59.445824,10.456345,"25.05.2019 00:00:00"
"5165","Norsk zoologisk forening","Trachinus_draco",59.445395,10.45657,"30.05.2018 00:00:00"
"5167","Norsk zoologisk forening","Symphodus_melops",59.661613,10.627465,"14.06.2019 00:00:00"
"5168","Norsk zoologisk forening","Pomatoschistus_minutus",59.416234,10.609041,"11.04.2019 00:00:00"
"5169","Norsk zoologisk forening","Platichthys_flesus",59.416234,10.609041,"11.04.2019 00:00:00"
"5170","Norsk zoologisk forening","Pleuronectes_platessa",59.634804,10.606058,"16.04.2019 00:00:00"
"5171","Norsk zoologisk forening","Platichthys_flesus",59.634804,10.606058,"16.04.2019 00:00:00"
"5172","Norsk zoologisk forening","Solea_solea",59.634804,10.606058,"16.04.2019 00:00:00"
"5173","Norsk zoologisk forening","Scophthalmus_rhombus",59.634804,10.606058,"29.04.2019 00:00:00"
"5174","Norsk zoologisk forening","Anguilla_anguilla",59.43045,10.430204,"12.07.2019 00:00:00"
"5175","Norsk zoologisk forening","Scomber_scombrus",59.554522,10.241423,"19.07.2019 00:00:00"
"5176","Norsk zoologisk forening","Scomber_scombrus",59.781445,10.721339,"19.07.2019 00:00:00"
"5177","Norsk zoologisk forening","Clupea_harengus",59.781445,10.721339,"19.07.2019 00:00:00"
"5178","Norsk zoologisk forening","Sprattus_sprattus",59.781445,10.721339,"19.07.2019 00:00:00"
"5179","Norsk zoologisk forening","Belone_belone",59.781445,10.721339,"19.07.2019 00:00:00"
"5180","Norsk zoologisk forening","Scomber_scombrus",59.542534,10.269801,"22.07.2019 00:00:00"
"5181","Norsk zoologisk forening","Scomber_scombrus",59.539488,10.27361,"22.07.2019 00:00:00"
"5182","BioFokus","Gobius_niger",59.667534,10.570697,"13.05.2019 00:00:00"
"5183","Norsk zoologisk forening","Pollachius_virens",59.781445,10.721339,"01.08.2019 00:00:00"
"5184","Norsk zoologisk forening","Gadus_morhua",59.781445,10.721339,"01.08.2019 00:00:00"
"5185","Norsk zoologisk forening","Scomber_scombrus",59.781445,10.721339,"01.08.2019 00:00:00"
"5186","Norsk zoologisk forening","Limanda_limanda",59.648483,10.633628,"01.08.2019 00:00:00"
"5187","Norsk zoologisk forening","Ctenolabrus_rupestris",59.648483,10.633628,"01.08.2019 00:00:00"
"5188","Norsk zoologisk forening","Belone_belone",59.903264,10.738712,"06.08.2019 00:00:00"
"5189","Norsk zoologisk forening","Scomber_scombrus",59.903264,10.738712,"06.08.2019 00:00:00"
"5190","Norsk zoologisk forening","Lepomis_gibbosus",59.667629,10.564071,"13.08.2019 00:00:00"
"5191","Norsk zoologisk forening","Scomber_scombrus",59.781445,10.721339,"14.08.2019 00:00:00"
"5192","Norsk zoologisk forening","Sprattus_sprattus",59.781445,10.721339,"14.08.2019 00:00:00"
"5194","Norsk zoologisk forening","Syngnathus_rostellatus",59.79139,10.705888,"24.08.2019 00:00:00"
"5195","Norsk zoologisk forening","Scomber_scombrus",59.662048,10.625606,"07.09.2019 00:00:00"
"5196","Norsk zoologisk forening","Scomber_scombrus",59.800316,10.712446,"01.09.2019 00:00:00"
"5197","Norsk zoologisk forening","Myoxocephalus_scorpius",59.305829,10.72857,"08.05.2019 00:00:00"
"5198","Norsk zoologisk forening","Pomatoschistus_minutus",59.305829,10.72857,"08.05.2019 00:00:00"
"5199","Norsk zoologisk forening","Ciliata_mustela",59.035977,10.950364,"09.05.2019 00:00:00"
"5200","Norsk zoologisk forening","Platichthys_flesus",59.035977,10.950364,"09.05.2019 00:00:00"
"5201","Norsk zoologisk forening","Merlangius_merlangus",59.135125,10.979093,"27.06.2019 00:00:00"
"5202","Norsk zoologisk forening","Coregonus_lavaretus",59.176475,10.961028,"11.07.2019 00:00:00"
"5203","Norsk zoologisk forening","Perca_fluviatilis",59.176475,10.961028,"11.07.2019 00:00:00"
"5204","Norsk zoologisk forening","Pleuronectes_platessa",59.318996,10.675049,"27.08.2019 00:00:00"
"5205","Norsk zoologisk forening","Platichthys_flesus",59.318996,10.675049,"27.08.2019 00:00:00"
"5206","Norsk zoologisk forening","Solea_solea",59.318996,10.675049,"27.08.2019 00:00:00"
"5207","Norsk zoologisk forening","Belone_belone",59.318996,10.675049,"27.08.2019 00:00:00"
"5208","Norsk zoologisk forening","Syngnathus_rostellatus",59.318996,10.675049,"27.08.2019 00:00:00"
"5209","Norsk zoologisk forening","Spinachia_spinachia",59.318996,10.675049,"27.08.2019 00:00:00"
"5210","Norsk zoologisk forening","Anguilla_anguilla",59.223259,10.419245,"23.09.2019 00:00:00"
"5211","Norsk zoologisk forening","Scomber_scombrus",59.85658,10.682999,"23.09.2019 00:00:00"
"5212","Norsk zoologisk forening","Scomber_scombrus",59.87103,10.656445,"24.09.2019 00:00:00"
"5213","Norsk zoologisk forening","Scomber_scombrus",59.658949,10.602734,"25.09.2019 00:00:00"
"5214","Norsk zoologisk forening","Scophthalmus_maximus",59.416234,10.609041,"08.09.2019 00:00:00"
"5215","Norsk zoologisk forening","Scophthalmus_rhombus",59.416234,10.609041,"08.09.2019 00:00:00"
"5216","Norsk zoologisk forening","Scophthalmus_rhombus",59.318996,10.675049,"23.09.2019 00:00:00"
"5217","Norsk zoologisk forening","Scomber_scombrus",59.85658,10.682999,"07.10.2019 00:00:00"
"5218","Norsk zoologisk forening","Taurulus_bubalis",59.416234,10.609041,"04.10.2019 00:00:00"
"5219","Norsk zoologisk forening","Salmo_trutta",59.886412,10.614691,"18.10.2019 00:00:00"
"5220","Norsk zoologisk forening","Mola_mola",59.873988,10.777169,"24.10.2019 00:00:00"
"5221","Norsk zoologisk forening","Gobius_niger",59.733672,10.587059,"25.10.2019 00:00:00"
"5222","Norsk zoologisk forening","Labrus_mixtus",59.03294,10.895477,"31.10.2019 00:00:00"
"5223","Norsk zoologisk forening","Scomber_scombrus",59.03294,10.895477,"31.10.2019 00:00:00"
"5623","Norsk zoologisk forening","Platichthys_flesus",59.895911,10.754235,"08.04.2019 00:00:00"
"5624","Norsk zoologisk forening","Mola_mola",59.811118,10.700804,"30.11.2019 00:00:00"
"5625","Norsk zoologisk forening","Mola_mola",59.788611,10.706625,"30.11.2019 00:00:00"
"5626","Norsk zoologisk forening","Mola_mola",59.710948,10.59527,"28.11.2019 00:00:00"
"5627","Norsk zoologisk forening","Pomatoschistus_microps",59.024837,11.039379,"17.07.2019 00:00:00"
