"","Lon","Lat","species","value"
"1376",10.5143874,59.8324791,"Gobiusculus_flavescens",252
"1378",10.53,58.88,"Gobiusculus_flavescens",417
"1379",10.5853533,59.8757844,"Gobiusculus_flavescens",875
"1380",10.6747926,59.8942799,"Gobiusculus_flavescens",3546
"1382",10.754722,59.094444,"Gobiusculus_flavescens",966
"1383",10.368889,59.155389,"Gobiusculus_flavescens",2121
"1384",10.754722,59.868889,"Gobiusculus_flavescens",1299
"1385",10.778583,59.872806,"Gobiusculus_flavescens",4993
"1386",10.774639,59.842972,"Gobiusculus_flavescens",1103
"1387",10.781908,59.86858,"Gobiusculus_flavescens",61
"1388",10.782444,59.854306,"Gobiusculus_flavescens",1213
"1391",10.599488,59.874648,"Gobiusculus_flavescens",363
"1392",10.687774,59.85377,"Gobiusculus_flavescens",67
"1393",10.548964,59.847356,"Gobiusculus_flavescens",193
"1394",10.56704,59.880428,"Gobiusculus_flavescens",286
"1395",10.609304,59.82083,"Gobiusculus_flavescens",352
"1396",10.521936,59.701987,"Gobiusculus_flavescens",173
"1397",10.5764111881125,59.8555285108815,"Gobiusculus_flavescens",150
"1398",10.4289222,59.0797784,"Gobiusculus_flavescens",549
"1399",10.5395683654512,59.8462089551144,"Gobiusculus_flavescens",367
"1400",10.68446,59.489083,"Gobiusculus_flavescens",1549
"1402",10.674155,59.463364,"Gobiusculus_flavescens",144
"1405",10.641683,59.426114,"Gobiusculus_flavescens",138
"1407",10.594358,59.417073,"Gobiusculus_flavescens",156
"1408",10.58785,59.42649,"Gobiusculus_flavescens",543
"1411",10.620177,59.46032,"Gobiusculus_flavescens",144
"1412",10.521936,59.701987,"Gobiusculus_flavescens",90
"1413",10.604175,59.441273,"Gobiusculus_flavescens",992
"1416",10.5737041,59.1883778,"Gobiusculus_flavescens",97
"1417",10.5366347,59.2211262,"Gobiusculus_flavescens",128
"1419",10.47285,59.348569,"Gobiusculus_flavescens",38
"1432",10.845383,59.134642,"Gymnocephalus_cernua",28
"1507",10.521744,59.300503,"Hippoglossoides_platessoides",1462
"1510",10.4341126,59.0639565,"Hippoglossoides_platessoides",23
"1531",10.633306,59.64925,"Hippoglossoides_platessoides",533
"1534",10.5143874,59.8324791,"Hippoglossoides_platessoides",74
"1542",10.754722,59.868889,"Hippoglossoides_platessoides",31
"1561",10.660741,59.445949,"Hippoglossoides_platessoides",103
"1562",10.606443,59.649072,"Hippoglossoides_platessoides",226
"1572",10.504374,59.283593,"Hippoglossoides_platessoides",49
"1587",10.599975,59.175279,"Labrus_bergylta",141
"1589",10.4341126,59.0639565,"Labrus_bergylta",204
"1591",10.512778,59.733889,"Labrus_bergylta",94
"1596",10.571389,59.675833,"Labrus_bergylta",102
"1602",10.519444,59.726667,"Labrus_bergylta",210
"1603",10.389444,59.171222,"Labrus_bergylta",41
"1613",10.5143874,59.8324791,"Labrus_bergylta",22
"1617",10.6747926,59.8942799,"Labrus_bergylta",182
"1635",10.4289222,59.0797784,"Labrus_bergylta",36
"1637",10.68446,59.489083,"Labrus_bergylta",42
