"","Ammodytes_marinus","Anguilla_anguilla","Aphia_minuta","Belone_belone","Buglossidium_luteum","Ciliata_mustela","Clupea_harengus","Crystallogobius_linearis","Ctenolabrus_rupestris","Cyclopterus_lumpus","Enchelyopus_cimbrius","Engraulis_encrasicolus","Gadiculus_argenteus","Gadus_morhua","Gasterosteus_aculeatus","Glyptocephalus_cynoglossus","Gobius_niger","Gobiusculus_flavescens","Gymnocephalus_cernua","Hippoglossoides_platessoides","Labrus_bergylta","Lesueurigobius_friesii","Limanda_limanda","Liparis_montagui","Melanogrammus_aeglefinus","Merlangius_merlangus","Myoxocephalus_scorpius","Oncorhynchus_gorbuscha","Osmerus_eperlanus","Perca_fluviatilis","Pholis_gunnellus","Phrynorhombus_norvegicus","Platichthys_flesus","Pleuronectes_platessa","Pollachius_pollachius","Pollachius_virens","Pomatoschistus_microps","Pomatoschistus_minutus","Pomatoschistus_pictus","Raniceps_raninus","Salmo_salar","Salmo_trutta","Sardina_pilchardus","Scomber_scombrus","Scophthalmus_maximus","Scophthalmus_rhombus","Solea_solea","Spinachia_spinachia","Sprattus_sprattus","Symphodus_melops","Syngnathus_acus","Syngnathus_rostellatus","Syngnathus_typhle","Taurulus_bubalis","Thunnus_alalunga","Trachinus_draco","Trisopterus_minutus","Zeugopterus_punctatus"
"80",0,342,106,0,0,590,0,0,2104,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,168,0,333,0,0,0,129,0,0,0,0,125,0,0,0,81,0,0,0,0,0,0,0,0,0,1082,0,0,0,108,0,0,0,0
"81",0,82,0,21,0,0,0,0,711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,1427,0,0,0,0,0,0,0,0
"82",0,0,505,74,0,0,0,0,51,0,0,0,0,0,0,0,65,156,0,0,42,0,0,0,0,563,0,0,0,0,0,0,0,0,0,282,173,0,0,0,0,0,0,443,0,0,0,0,92,326,0,0,0,0,0,0,0,0
"83",86,139,0,50,0,0,0,0,2191,0,0,0,0,0,0,0,0,543,0,0,70,0,0,0,0,114,0,0,0,0,2857,0,70,81,0,0,0,100,0,0,0,0,0,0,0,0,0,0,322,2667,0,0,0,60,0,0,0,0
"84",107,56,0,0,0,0,0,0,652,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,476,0,0,0,0,0,0,182,0,0,0,0,0,0,190,0,0,0,0,924,0,0,0,0,0,0,0,0
"87",0,47,0,0,0,0,0,0,609,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,0,67,0,0,0,0,0,0,0,0,0,0,210,0,0,88,0,0,763,0,0,0,307,0,0,0,0
"88",0,0,0,0,0,38,0,0,2631,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,600,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,185,90,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0
"90",0,42,126,49,0,238,0,0,10047,0,0,0,0,136,0,0,155,992,0,0,26,0,0,199,0,45,76,0,0,0,344,0,0,0,0,41,0,86,76,22,0,601,0,0,0,0,0,0,32,1865,0,0,0,49,0,0,0,0
"91",0,0,0,169,0,90,0,0,862,0,0,25,0,38,0,0,0,0,0,49,0,0,0,0,0,0,114,0,0,0,369,0,0,66,0,262,0,0,0,0,0,0,0,163,0,64,0,0,0,1638,0,0,0,102,0,0,0,0
"92",0,26,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561,0,0,0,1365,0,0,0,0
"93",0,0,0,181,0,52,0,0,3565,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,100,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,0,0,0,0,0,161,0,0,0,34,0,0,0,42
"94",0,0,0,77,42,24,0,0,2714,0,48,0,0,0,0,0,0,128,0,0,169,39,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3604,0,0,0,0,224,885,0,0,0,127,0,0,0,0
"95",0,0,0,0,0,31,0,0,5877,0,0,0,0,0,0,0,0,0,0,0,219,0,0,62,0,891,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,715,42,0,77,0,75,1773,0,0,0,0,0,0,0,0
"96",132,0,130,206,0,132,124,0,7906,0,28,27,0,34,0,0,0,38,0,0,0,0,0,33,0,0,225,0,0,0,61,0,210,79,0,0,0,0,0,0,0,0,0,5888,0,0,52,0,0,178,0,34,0,0,0,0,0,0
"97",0,0,40,33,0,0,103,0,5538,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,2082,0,0,0,59,0,0,0,0,0,0,5372,53,102,0,0,23,31,0,0,0,0,0,0,0,0
"98",0,0,0,0,0,0,0,0,1660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99",0,0,0,0,0,0,0,0,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,20,0,52,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0
